fact_id,service_id,hotel_id,room_id,booking_id,guest_id,channel_id,employee_id,sales_date,sales
1,42,1,23,1,102808,3,4,2022-12-03,100
2,34,3,86,2,146153,3,3,2022-10-07,100
3,61,1,1,3,26197,8,3,2022-09-23,100
4,55,4,138,4,116565,4,3,2022-03-25,100
5,49,2,42,5,37217,2,2,2023-02-20,100
6,65,3,117,6,32362,6,4,2022-10-17,100
7,47,4,179,7,31701,2,4,2022-07-29,100
8,30,3,88,8,74213,2,4,2023-01-17,100
9,21,4,154,9,2896,2,4,2022-08-31,100
10,48,2,45,10,93650,4,3,2023-01-23,100
11,72,2,78,11,144272,7,5,2022-11-03,100
12,11,4,160,12,119645,4,2,2022-10-21,100
13,57,1,2,13,18138,1,3,2022-06-05,100
14,26,1,26,14,92720,4,2,2023-02-06,100
15,68,3,99,15,142469,5,5,2022-12-28,100
16,11,4,153,16,56268,5,2,2023-01-10,100
17,73,2,73,17,102610,7,3,2022-07-07,100
18,37,2,69,18,103150,3,5,2022-11-20,100
19,6,1,23,19,84254,4,1,2022-04-05,100
20,58,1,31,20,24385,4,1,2022-06-11,100
21,16,2,42,21,94250,4,4,2022-04-15,100
22,27,4,150,22,122426,2,3,2023-02-12,100
23,63,3,96,23,134626,1,5,2022-12-18,100
24,3,1,2,24,102867,2,2,2022-10-30,100
25,33,2,77,25,31494,2,4,2022-12-30,100
26,10,4,174,26,85387,4,4,2022-12-29,100
27,40,1,11,27,45048,1,5,2022-08-13,100
28,51,3,116,28,111909,5,5,2022-10-01,100
29,14,4,140,29,112029,6,4,2022-06-08,100
30,50,1,26,30,101202,2,3,2022-11-03,100
31,20,2,46,31,146814,7,2,2022-07-25,100
32,36,3,111,32,135212,4,3,2022-04-11,100
33,3,1,19,33,9540,1,4,2022-06-07,100
34,11,4,167,34,106312,3,1,2022-08-23,100
35,29,1,33,35,144522,6,2,2022-06-23,100
36,73,2,76,36,131704,3,2,2023-02-05,100
37,6,4,172,37,83150,7,3,2023-01-10,100
38,13,4,166,38,147650,4,2,2022-09-30,100
39,53,3,114,39,106019,2,1,2022-08-08,100
40,23,4,172,40,60056,5,4,2023-01-16,100
