fact_id,service_id,hotel_id,room_id,booking_id,guest_id,channel_id,employee_id,sales_date,sales
992,18,1,23,1,102808,3,4,2022-06-04,100
993,73,3,86,2,146153,3,1,2022-10-06,100
994,37,1,1,3,26197,8,2,2022-12-28,100
995,68,4,138,4,116565,4,5,2022-05-25,100
996,66,2,42,5,37217,2,1,2022-12-07,100
997,62,3,117,6,32362,6,3,2022-07-13,100
998,13,4,179,7,31701,2,2,2022-10-05,100
999,26,3,88,8,74213,2,3,2022-10-28,100
1000,20,4,154,9,2896,2,3,2022-08-29,100
1001,32,2,45,10,93650,4,2,2022-10-01,100
1002,58,2,78,11,144272,7,5,2022-11-21,100
1003,30,4,160,12,119645,4,5,2022-11-17,100
1004,69,1,2,13,18138,1,3,2022-04-12,100
1005,43,1,26,14,92720,4,4,2022-05-22,100
1006,48,3,99,15,142469,5,3,2023-02-12,100
1007,12,4,153,16,56268,5,1,2022-10-17,100
1008,22,2,73,17,102610,7,4,2022-03-15,100
1009,30,2,69,18,103150,3,4,2022-05-28,100
1010,57,1,23,19,84254,4,3,2022-03-16,100
1011,18,1,31,20,24385,4,3,2022-12-04,100
1012,43,2,42,21,94250,4,5,2023-01-26,100
1013,77,4,150,22,122426,2,5,2022-06-15,100
1014,62,3,96,23,134626,1,3,2022-09-29,100
1015,27,1,2,24,102867,2,2,2022-05-20,100
1016,48,2,77,25,31494,2,2,2022-12-29,100
1017,36,4,174,26,85387,4,2,2022-07-07,100
1018,36,1,11,27,45048,1,4,2022-10-05,100
1019,64,3,116,28,111909,5,2,2023-02-15,100
1020,59,4,140,29,112029,6,4,2023-02-26,100
1021,54,1,26,30,101202,2,1,2023-02-17,100
1022,35,2,46,31,146814,7,5,2022-03-12,100
1023,33,3,111,32,135212,4,3,2022-04-17,100
1024,8,1,19,33,9540,1,4,2023-01-31,100
1025,74,4,167,34,106312,3,4,2022-08-05,100
1026,2,1,33,35,144522,6,4,2022-06-21,100
1027,10,2,76,36,131704,3,1,2022-09-14,100
1028,75,4,172,37,83150,7,1,2022-07-20,100
1029,19,4,166,38,147650,4,2,2022-07-27,100
1030,1,3,114,39,106019,2,1,2022-11-06,100
1031,21,4,172,40,60056,5,4,2022-06-10,100
1032,58,2,67,41,97859,6,1,2022-10-30,100
1033,36,2,63,42,25093,2,5,2022-07-08,100
1034,46,2,45,43,8675,3,1,2023-01-29,100
1035,4,2,61,44,113238,2,4,2022-09-20,100
1036,68,2,46,45,44185,8,2,2023-02-03,100
1037,5,4,137,46,15475,6,3,2022-04-29,100
1038,17,1,13,47,58809,8,4,2022-09-14,100
1039,2,2,60,48,70148,1,4,2022-09-27,100
1040,4,2,75,49,82897,4,4,2022-12-03,100
