fact_id,service_id,hotel_id,room_id,booking_id,guest_id,channel_id,employee_id,sales_date,sales
2994,8,1,23,1,102808,3,1,2022-12-12,100
2995,76,3,86,2,146153,3,3,2022-08-04,100
2996,65,1,1,3,26197,8,3,2022-12-13,100
2997,50,4,138,4,116565,4,5,2023-02-25,100
2998,53,2,42,5,37217,2,1,2022-03-23,100
2999,53,3,117,6,32362,6,2,2022-09-09,100
3000,57,4,179,7,31701,2,1,2022-04-22,100
3001,38,3,88,8,74213,2,1,2022-03-24,100
3002,55,4,154,9,2896,2,2,2022-06-03,100
3003,43,2,45,10,93650,4,1,2022-11-13,100
3004,51,2,78,11,144272,7,5,2023-02-27,100
3005,66,4,160,12,119645,4,2,2022-06-17,100
3006,37,1,2,13,18138,1,3,2022-05-23,100
3007,77,1,26,14,92720,4,4,2022-07-31,100
3008,20,3,99,15,142469,5,5,2022-07-09,100
3009,18,4,153,16,56268,5,4,2022-08-17,100
3010,13,2,73,17,102610,7,3,2022-04-06,100
3011,68,2,69,18,103150,3,2,2022-11-25,100
3012,63,1,23,19,84254,4,4,2022-04-27,100
3013,38,1,31,20,24385,4,3,2022-06-03,100
3014,15,2,42,21,94250,4,5,2022-07-01,100
3015,62,4,150,22,122426,2,3,2022-04-29,100
3016,57,3,96,23,134626,1,1,2022-04-28,100
3017,64,1,2,24,102867,2,4,2022-06-07,100
3018,15,2,77,25,31494,2,5,2023-01-19,100
3019,72,4,174,26,85387,4,1,2022-10-09,100
3020,8,1,11,27,45048,1,5,2023-02-13,100
3021,70,3,116,28,111909,5,4,2022-07-06,100
3022,7,4,140,29,112029,6,1,2023-02-08,100
3023,24,1,26,30,101202,2,3,2022-12-09,100
3024,78,2,46,31,146814,7,1,2022-11-05,100
3025,14,3,111,32,135212,4,5,2022-07-25,100
3026,66,1,19,33,9540,1,4,2022-03-28,100
3027,25,4,167,34,106312,3,2,2022-10-10,100
3028,13,1,33,35,144522,6,3,2023-01-29,100
3029,56,2,76,36,131704,3,4,2022-03-11,100
3030,66,4,172,37,83150,7,5,2022-06-03,100
3031,29,4,166,38,147650,4,5,2022-09-26,100
3032,27,3,114,39,106019,2,1,2022-08-23,100
3033,13,4,172,40,60056,5,3,2022-09-08,100
3034,49,2,67,41,97859,6,1,2022-05-16,100
3035,50,2,63,42,25093,2,4,2022-03-16,100
3036,12,2,45,43,8675,3,3,2022-05-17,100
3037,32,2,61,44,113238,2,1,2022-11-08,100
3038,33,2,46,45,44185,8,3,2022-07-30,100
3039,57,4,137,46,15475,6,4,2022-05-28,100
3040,18,1,13,47,58809,8,4,2023-01-15,100
3041,57,2,60,48,70148,1,3,2022-04-05,100
3042,63,2,75,49,82897,4,4,2022-03-10,100
3043,64,1,27,50,51916,8,4,2022-12-21,100
3044,30,3,104,51,548,8,2,2022-06-06,100
3045,49,1,34,52,108295,4,2,2022-04-25,100
3046,28,1,18,53,53174,5,3,2023-01-31,100
3047,13,3,103,54,142721,6,3,2022-07-25,100
3048,60,2,69,55,45779,8,2,2022-09-12,100
3049,15,4,172,56,75012,3,5,2022-11-28,100
3050,56,4,152,57,59384,8,2,2022-10-11,100
3051,55,4,127,58,111607,2,5,2022-03-13,100
3052,57,2,70,59,127865,3,3,2022-05-26,100
3053,44,4,125,60,97819,8,2,2022-05-10,100
3054,64,4,138,61,56903,2,2,2022-12-25,100
3055,39,4,175,62,47228,7,3,2022-07-22,100
3056,60,3,96,63,38777,8,5,2022-12-16,100
3057,31,4,157,64,72675,2,4,2022-12-14,100
3058,40,1,31,65,33685,1,3,2022-04-02,100
3059,1,4,125,66,52110,5,3,2022-04-16,100
3060,73,4,175,67,72128,5,3,2022-03-19,100
3061,34,3,114,68,30219,8,5,2022-04-26,100
3062,7,3,87,69,105097,7,5,2022-04-16,100
3063,47,1,23,70,10606,1,2,2023-02-28,100
3064,74,1,36,71,145867,6,3,2022-03-04,100
3065,18,2,74,72,7444,2,4,2022-09-16,100
3066,16,4,173,73,107596,8,3,2022-05-09,100
